IDS	QUESTIONS	ANSWER	AUDIO	INFO	CLUE	THEME	SUBTYPE	LEVEL	SEQ	TYPE	PERSON	TENSE	COMMENT	0	dedupeExact		dedupeVague															
1	_rich port_	_puerto rico_ (costa rica)	S0001	sequence::agreement::proximity::consonants:: morph: ue => o::		pre-knowledge		A1	1	place name				puerto rico																		
2	_rich coast_	_costa rica_ (puerto rico)	S0002	sequence::agreement::proximity::consonants		pre-knowledge		A1	2	place name				costa rica																		
3	equa_t_or	ecua_d_or	S0003	morph: d <=> t		pre-knowledge		A1	3	place name				ecuador																		
4	the meadows	l_as_ veg_as_	S0004	sequence::agreement::pluralisation::vegetation		pre-knowledge		A1	4	place name				las vegas																		
5	the angeles	l_os_ angel_es_	S0005	sequence::agreement::pluralisation		pre-knowledge		A1	5	place name				los angeles																		
6	snowy (snow_ed_)	nev_ada_ (florida)	S0006	infinitive: nevar = to snow::past tense (past participle)		pre-knowledge		A1	6	place name				nevada																		
7	flower_ed_	flor_ida (nevada)	S0007	infinitive: florir = to flower::proximity::past tense (past participle):: 3 verb endings::AR is the most popular.		pre-knowledge		A1	7	place name				florida																		
8	mountain	_montana_ (montaña)	S0008	proximity		pre-knowledge		A1	8	place name				montana																		
9	yellow	amarillo	S0009	existing knowledge		pre-knowledge		A1	9	place name				amarillo																		
10	kill_er_	mata_dor_	S0010	infinitive: matar - to kill:: formation of the -doer- of actions		pre-knowledge		A1	10	noun				matador																		
11	_hello_	_hola_	S0011	connections between languages tend to be found in the consonants more than the vowels	_h_	social	greeting	A1	11	misc				hola																		
12	_goodbye_	_adiós_	S0012	to God	_a_	social	greeting	A1	12	misc				adiós																		
13	señor: _excuse me_	_disculpeme_	S0013	DISCULPAR::culpability::imperative form. No exclamation marks because the tone is gentle	_d_	social	greeting	A1	13	misc				disculpeme																		
14	_sorry_	_lo siento_	S0014	I FEEL it::sentient beings::sensation	_l s_	social	greeting	A1	14	misc				lo siento																		
15	_zero_ thanks	_cero_ gracias	S0015	close	_c_ g	number	cardinal	A1	15	number				cero																		
16	_one_ red shirt (f)	_una_ camisa roja	S0016	un une unit uni-cycle	_u_ c r	number	cardinal	A1	16	number				una																		
17	_two_ orange fruits	_dos_ frutas naranjas	S0017	duos duets	_d_ f n	number	cardinal	A1	17	number				dos																		
18	_three_ large houses	_tres_ casas grandes	S0018	tri / triangle / triple/ French / trimestre	_t_ c g	number	cadinal	A1	18	number				tres																		
19	_four_ green apples	_cuatro_ manzanas verdes	S0019	quarter	_c_ m v	number	cardinal	A1	19	number				cuatro																		
20	_five_ blue	_cinco_ azules	S0020	cinco de Mayo	_c_ a	number	cardinal	A1	20	number				cinco																		
21	_six_ purple ones	_seis_ morados	S0021	close	_s_ m	number	cardinal	A1	21	number				seis																		
22	_seven_ days	_siete_ días	S0022	september - originally the 7th month	_s_ d	number	cardinal	A1	22	number				siete																		
23	_eight_ months	_ocho_ meses	S0023	octagon - october	_o_ m	number	cardinal	A1	23	number				ocho																		
24	_nine_ years ago	hace _nueve_ años	S0024	november - neuf	h _n_ a	number	cardinal	A1	24	number				nueve																		
25	_ten_ more	_diez_ más	S0025	decembre decimals	_d_ m	number	cardinal	A1	25	number				diez																		
26	_on_ the shelf	_sobre_ el estante	S0026		_s_ e e	grammar	location	A1	26	preposition				sobre																		
27	_under_ the table	_debajo de_ la mesa	S0027	baja California	_d d_ l m	grammar	location	A1	27	preposition				debajo de																		
28	_by_ the window (next to)	_junto a_ la ventana	S0028	a military junta::juxtaposition	_j a_ l v	grammar	location	A1	28	preposition				junto a																		
29	_in front of_ the chair	_delante de_ la silla	S0029	adelante	_d d_ l s	grammar	location	A1	29	preposition				delante de																		
30	_behind_ the door	_detrás de_ la puerta	S0030	o => ue morph:: port	_d d_ l p	grammar	location	A1	30	preposition				detrás de																		
31	_opposite_ my desk	_frente a_ mi escritorio	S0031	in front of	_f a_ m e	grammar	location	A1	31	preposition				frente a																		
32	_in_ the bed	_en_ la cama	S0032	close. consonants are more important than vowels	_e_ l c	grammar	location	A1	32	preposition				en in																		
33	_through_	_a través de_	S0033		_a t d_	grammar	location	A1	33	preposition				a través de																		
34	_between_ the two	_entre_ las dos	S0034	enter	_e_ l d	grammar	location	A1	34	preposition				entre																		
35	yes _please_	sí _por favor_	S0035	for favour	s _p f_	social	greeting	A1	35	misc				por favor																		
36	no _thank you_	no _gracias_	S0036	grace	n _g_	social	greeting	A1	36	misc				gracias																		
37	_can I_ have	¿_puedo_ tener?	S0037	infinitive: poder:: irregular::only the first verb of a two verb combination like this has to be conjugated	_p_ t	shopping	general	A1	37	verb				puedo																		
38	my _brother_	mi _hermano_	S0038	“masculine” ending	m _h_	people	family	A1	38	noun				hermano																		
39	my _sister_	mi _hermana_	S0039	“feminine” ending	m _h_	people	family	A1	39	noun				hermana																		
40	amigo: your _mother_	tu _madre_	S0040	mama:: tu is the informal / everyday version of “you”:: tú = you ; tu = your	t _m_	people	family	A1	40	noun				madre																		
41	amigo: your _father_	tu _padre_	S0041	papa:: tu is the informal / everyday version of “you”:: tú = you ; tu = your	t _p_	people	family	A1	41	noun				padre																		
42	his / her _house_	su _casa_	S0042	la casa ::castle	s _c_	environment	building	A1	42	noun				casa																		
43	his / her _car_	su _coche_	S0043	el coche :: coach	s _c_	environment	transport	A1	43	noun				coche																		
44	our _son_	nuestro _hijo_	S0044		n _h_	people	family	A1	44	noun				hijo																		
45	amigos: your _daughters_	vuestras _hijas_	S0045	note both words agree with the plural:: vuestro is “you” informal plural	v _h_	people	family	A1	45	noun				hijas																		
46	their _boys_	sus _niños_	S0046	note both words agree with the plural	s _n_	people	family	A1	46	noun				niños																		
47	their _girls_	sus _niñas_	S0047	note both words agree with the plural	s _n_	people	family	A1	47	noun				niñas																		
48	a tall _man_	un _hombre_ alto	S0048	westerns	u _h_ a	people	family	A1	48	noun				hombre																		
49	a tall _woman_	una _mujer_ alta	S0049	feminine despite the spelling	u _m_ a	people	family	A1	49	noun				mujer																		
50	_my_ money	_mi_ dinero	S0050	close	_m_ d	grammar	possessive	A1	50	descriptor				mi																		
51	amigo: _your_ car	_tu_ coche	S0051	French	_t_ c	grammar	possessive	A1	51	descriptor				tu																		
52	_his_ / _her_ house	_su_ casa	S0052	same for masculine and feminine words	_s_ c	grammar	possessive	A1	52	descriptor				su - his																		
53	_our_ dogs	_nuestros_ perros	S0053	cosa nostra	_n_ p	grammar	possessive	A1	53	descriptor				nuestros																		
