Action: improve | review | Learn | conjugate | listen | compose | errors
Result: new | familiar | known | 0 | 0.5 | 1
sDay: sprintDay ; A/P: active | passive ; warning: starting row = 5 is fixed
ID	ACTION	RESULT	DURATION	SDAY	A/P
1	learn	k	22	1	a
2	learn	k	4	1	a
3	learn	k	2	1	a
4	learn	k	2	1	a
5	learn	k	2	1	a
6	learn	k	2	1	a
7	learn	k	2	1	a
8	learn	k	3	1	a
9	learn	k	2	1	a
10	learn	k	6	1	a
11	learn	k	2	1	a
12	learn	k	2	1	a
13	learn	k	3	1	a
14	learn	k	2	1	a
15	learn	k	3	1	a
16	learn	k	3	1	a
17	learn	k	3	1	a
18	learn	k	20	1	a
19	learn	k	3	1	a
20	learn	k	3	1	a
21	learn	k	2	1	a
22	learn	k	3	1	a
23	learn	k	2	1	a
24	learn	k	3	1	a
25	learn	k	3	1	a
26	learn	n	6	2	a
27	learn	n	3	2	a
28	learn	n	3	2	a
29	learn	f	7	2	a
30	learn	n	2	2	a
31	learn	n	2	2	a
32	learn	k	4	2	a
33	learn	k	3	2	a
34	learn	k	2	2	a
35	learn	k	2	2	a
36	learn	k	2	2	a
37	learn	k	2	2	a
38	learn	k	2	2	a
39	learn	k	2	2	a
40	learn	k	2	2	a
41	learn	k	2	2	a
42	learn	k	2	2	a
43	learn	k	3	2	a
44	learn	k	3	2	a
45	learn	k	3	2	a
46	learn	k	2	2	a
47	learn	k	2	2	a
48	learn	k	2	2	a
49	learn	k	2	2	a
50	learn	k	2	2	a
51	learn	k	2	2	a
52	learn	k	2	2	a
53	learn	k	2	2	a
54	learn	k	2	2	a
55	learn	k	2	2	a
56	learn	k	2	2	a
57	learn	k	2	2	a
58	learn	k	2	2	a
59	learn	k	2	2	a
60	learn	k	2	2	a
61	learn	k	2	2	a
62	learn	k	3	2	a
63	learn	k	2	2	a
64	learn	k	2	2	a
65	learn	k	2	2	a
66	learn	k	2	2	a
67	learn	k	2	2	a
68	learn	k	2	2	a
69	learn	k	2	2	a
70	learn	k	2	2	a
71	learn	k	3	2	a
72	learn	k	3	2	a
73	learn	k	3	2	a
74	learn	k	3	2	a
75	learn	k	2	2	a
76	learn	k	2	2	a
77	learn	n	5	2	a
78	learn	k	3	2	a
79	learn	k	2	2	a
80	learn	k	2	2	a
81	learn	k	2	2	a
82	learn	n	5	2	a
83	learn	k	2	2	a
84	learn	k	2	2	a
85	learn	k	3	2	a
86	learn	k	3	2	a
87	learn	k	14	2	a
88	learn	k	2	2	a
89	learn	k	2	2	a
90	learn	k	2	2	a
91	learn	k	3	2	a
92	learn	k	2	2	a
93	learn	n	3	2	a
94	learn	n	4	2	a
95	learn	k	4	2	a
96	learn	k	3	2	a
97	learn	k	2	2	a
98	learn	k	2	2	a
99	learn	k	2	2	a
100	learn	k	2	2	a
101	learn	k	1	2	a
102	learn	k	2	2	a
103	learn	k	2	2	a
104	learn	n	33	2	a
105	learn	k	3	2	a
106	learn	k	2	2	a
107	learn	k	2	2	a
108	learn	k	2	2	a
