# headerRow = 3		
# NRD = NextReviewDate in terms of sprintDay		
ID	NRD	LEVEL
1	1	10
2	1	10
3	1	10
4	1	10
5	1	10
6	220	0
7	220	0
8	220	0
9	220	0
10	220	0
11	220	0
12	220	0
13	220	0
14	220	0
15	220	0
16	220	10
17	220	10
18	220	10
19	220	10
20	220	10
21	220	10
22	220	10
23	220	10
24	220	10
25	220	10
26	220	7
27	220	7
28	220	7
29	220	8
30	220	7
31	220	7
32	220	10
33	220	10
34	220	10
35	220	10
36	220	10
37	220	10
38	220	10
39	220	10
40	220	10
41	220	10
42	220	10
43	220	10
44	220	10
45	220	10
46	220	10
47	220	10
48	220	10
49	220	10
50	220	10
51	220	10
52	220	10
53	220	10
54	220	10
55	220	10
56	220	10
57	220	10
58	220	10
59	220	10
60	220	10
61	220	10
62	220	10
63	220	10
64	220	10
65	220	10
66	220	10
67	220	10
68	220	10
69	220	10
70	220	10
71	220	10
72	220	10
73	220	10
74	220	10
75	220	10
76	220	10
77	220	7
78	220	10
79	220	10
80	220	10
81	220	10
82	220	7
83	220	10
84	220	10
85	220	10
86	220	10
87	220	10
88	220	10
89	220	10
90	220	10
91	220	10
92	220	10
93	220	7
94	220	7
95	220	10
96	220	10
97	220	10
98	220	10
99	220	10
100	220	10
101	220	10
102	220	10
103	220	10
104	220	7
105	220	10
106	220	10
107	220	10
108	220	10
109	220	10
110	220	10
111	220	10
112	220	10
113	220	10
114	220	10
115	220	10
116	220	10
117	220	10
118	220	10
119	220	10
120	220	10
121	220	10
122	220	10
123	220	10
124	220	10
125	220	10
126	220	10
127	220	10
128	220	8
129	220	10
130	220	10
131	220	10
132	220	10
133	220	10
134	220	8
135	220	10
136	220	10
137	220	10
138	220	10
139	220	10
140	220	10
141	220	10
142	220	10
143	220	10
144	220	10
145	220	10
146	220	7
147	220	10
148	220	10
149	220	10
150	220	7
151	220	10
152	220	10
153	220	10
154	220	10
155	220	10
156	220	10
157	220	10
158	220	10
159	220	10
160	220	10
161	220	10
162	220	10
163	220	10
164	220	10
165	220	10
166	220	10
167	220	10
168	220	10
169	220	10
170	220	10
171	220	10
172	220	10
173	220	10
174	220	10
175	220	10
176	220	10
177	220	10
178	220	10
179	220	10
180	220	10
181	220	10
182	220	10
183	220	10
184	220	10
185	220	10
186	220	10
187	220	10
188	220	10
189	220	10
190	220	10
191	220	10
192	220	10
193	220	10
194	220	10
195	220	10
196	220	10
197	220	10
198	220	10
199	220	10
200	220	10
201	220	10
202	220	10
203	220	10
204	220	10
205	220	10
206	220	10
207	220	10
208	220	10
209	220	10
210	220	10
211	220	10
212	220	10
213	220	10
214	220	10
215	220	10
216	220	10
217	220	10
218	220	7
219	220	10
220	220	10
221	220	10
222	220	10
223	220	10
224	220	10
225	220	10
226	220	10
227	220	10
228	220	10
229	220	10
230	220	10
231	220	10
232	220	10
233	220	10
234	220	10
235	220	10
236	220	10
237	220	10
238	220	10
239	220	10
240	220	10
241	220	10
242	220	10
243	220	10
244	220	10
245	220	10
246	220	10
247	220	10
248	220	10
249	220	10
250	220	10
251	220	10
252	220	10
253	220	10
254	220	10
255	220	10
256	220	10
257	220	10
258	220	10
259	220	10
260	220	10
261	220	10
262	220	10
263	220	10
264	220	10
265	220	10
266	220	10
267	220	10
268	220	10
269	220	10
270	220	10
271	220	10
272	220	10
273	220	10
274	220	10
275	220	10
276	220	10
277	220	10
278	220	10
279	220	10
280	220	10
281	220	10
282	220	10
283	220	10
284	220	10
285	220	10
286	220	10
287	220	10
288	220	10
289	220	8
290	220	10
291	220	10
292	220	10
293	220	10
294	220	10
295	220	10
296	220	10
297	220	10
298	220	10
299	220	10
300	220	10
301	220	10
302	220	10
303	220	10
304	220	10
305	220	10
306	220	10
307	220	10
308	220	10
309	220	8
310	220	7
311	220	10
312	220	10
313	220	10
314	220	10
315	220	10
316	220	10
317	220	10
318	220	10
319	220	10
320	220	10
321	220	10
322	220	10
323	220	10
324	220	10
325	220	10
326	220	10
327	220	10
328	220	10
329	220	10
330	220	10
331	220	10
332	220	10
333	220	10
334	220	10
335	220	10
336	220	10
337	220	10
338	220	8
339	220	10
340	220	10
341	220	10
342	220	10
343	220	10
344	220	10
345	220	10
346	220	10
347	220	10
348	220	10
349	220	10
350	220	10
351	220	10
352	220	10
353	220	10
354	220	10
355	220	10
356	220	10
357	220	10
358	220	10
359	220	10
360	220	10
361	220	10
362	220	10
363	220	7
364	220	10
365	220	10
366	220	7
367	220	10
368	220	10
369	220	10
370	220	10
371	220	10
372	220	10
373	220	10
374	220	10
375	220	7
376	220	7
377	220	7
378	220	7
379	220	10
380	220	10
381	220	10
382	220	10
383	220	10
384	220	7
385	220	10
386	220	10
387	220	10
388	220	10
389	220	10
390	220	10
391	220	10
392	220	10
393	220	10
394	220	10
395	220	10
396	220	10
397	220	10
398	220	10
399	220	7
400	220	10
401	220	7
402	220	10
403	220	10
404	220	10
405	220	10
406	220	7
407	220	10
408	220	10
409	220	10
410	220	10
411	220	10
412	220	10
413	220	10
414	220	10
415	220	10
416	220	10
417	220	10
418	220	10
419	220	7
420	220	10
421	220	10
422	220	10
423	220	10
424	220	7
425	220	10
426	220	10
427	220	10
428	220	10
429	220	10
430	220	10
431	220	10
432	220	7
433	220	10
434	220	10
435	220	7
436	220	10
437	220	10
438	220	10
439	220	10
440	220	10
441	220	10
442	220	10
443	220	10
444	220	10
445	220	10
446	220	10
447	220	10
448	220	10
449	220	10
450	220	10
451	220	10
452	220	10
453	220	7
454	220	7
455	220	10
456	220	10
457	220	10
458	220	10
459	220	10
460	220	10
461	220	10
462	220	10
463	220	10
464	220	10
465	220	10
466	220	10
467	220	10
468	220	7
469	220	8
470	220	10
471	220	10
472	220	10
473	220	8
474	220	7
475	220	7
476	220	10
477	220	10
478	220	10
479	220	10
